category,year,keyword_speeches,total_speeches,normalised_share
immigration,1992,0,0,0.0
immigration,1993,0,0,0.0
immigration,1994,0,0,0.0
immigration,1995,0,0,0.0
immigration,1996,0,0,0.0
immigration,1997,0,0,0.0
immigration,1998,0,0,0.0
immigration,1999,0,0,0.0
immigration,2000,0,0,0.0
immigration,2001,0,0,0.0
immigration,2002,0,0,0.0
immigration,2003,0,0,0.0
immigration,2004,3,282,0.010638297872340425
immigration,2005,4,239,0.016736401673640166
immigration,2006,4,287,0.013937282229965157
immigration,2007,7,288,0.024305555555555556
immigration,2008,6,314,0.01910828025477707
immigration,2009,0,304,0.0
immigration,2010,1,424,0.0023584905660377358
immigration,2011,2,398,0.005025125628140704
immigration,2012,3,418,0.007177033492822967
immigration,2013,4,370,0.010810810810810811
immigration,2014,3,364,0.008241758241758242
immigration,2015,4,399,0.010025062656641603
nuclear,1946,0,0,0.0
nuclear,1947,0,0,0.0
nuclear,1948,0,0,0.0
nuclear,1949,0,0,0.0
nuclear,1950,0,0,0.0
nuclear,1951,0,0,0.0
nuclear,1952,0,0,0.0
nuclear,1953,0,0,0.0
nuclear,1954,0,0,0.0
nuclear,1955,0,0,0.0
nuclear,1956,0,0,0.0
nuclear,1957,0,0,0.0
nuclear,1958,0,0,0.0
nuclear,1959,0,0,0.0
nuclear,1960,0,0,0.0
nuclear,1961,0,0,0.0
nuclear,1962,0,0,0.0
nuclear,1963,0,0,0.0
nuclear,1964,0,0,0.0
nuclear,1965,0,0,0.0
nuclear,1966,0,0,0.0
nuclear,1967,0,0,0.0
nuclear,1968,0,0,0.0
nuclear,1969,0,0,0.0
nuclear,1970,0,0,0.0
nuclear,1971,0,0,0.0
nuclear,1972,0,0,0.0
nuclear,1973,0,0,0.0
nuclear,1974,0,0,0.0
nuclear,1975,0,0,0.0
nuclear,1976,0,0,0.0
nuclear,1977,0,0,0.0
nuclear,1978,0,0,0.0
nuclear,1979,0,0,0.0
nuclear,1980,0,0,0.0
nuclear,1981,0,0,0.0
nuclear,1982,0,0,0.0
nuclear,1983,0,0,0.0
nuclear,1984,0,0,0.0
nuclear,1985,0,0,0.0
nuclear,1986,0,0,0.0
nuclear,1987,0,0,0.0
nuclear,1988,0,0,0.0
nuclear,1989,0,0,0.0
nuclear,1990,0,0,0.0
nuclear,1991,0,0,0.0
nuclear,1992,0,0,0.0
nuclear,1993,0,0,0.0
nuclear,1994,0,0,0.0
nuclear,1995,0,0,0.0
nuclear,1996,0,0,0.0
nuclear,1997,0,0,0.0
nuclear,1998,0,0,0.0
nuclear,1999,0,0,0.0
nuclear,2000,0,0,0.0
nuclear,2001,0,0,0.0
nuclear,2002,0,0,0.0
nuclear,2003,0,0,0.0
nuclear,2004,8,282,0.028368794326241134
nuclear,2005,7,239,0.029288702928870293
nuclear,2006,4,287,0.013937282229965157
nuclear,2007,4,288,0.013888888888888888
nuclear,2008,4,314,0.012738853503184714
nuclear,2009,2,304,0.006578947368421052
nuclear,2010,5,424,0.01179245283018868
nuclear,2011,6,398,0.01507537688442211
nuclear,2012,3,418,0.007177033492822967
nuclear,2013,4,370,0.010810810810810811
nuclear,2014,7,364,0.019230769230769232
nuclear,2015,4,399,0.010025062656641603
